"","Name","Position","Number","Speech","Day","Time","Title","Link","X","Category","EndTime","X.1","X.2","Rep","Dem","SenateRep","HORRep","Unemployment","FedFunds","Number.1","ChangeVix","ChangeSP"
"79","Bush","President","89",0.1131298,"X1.18.08","12:14","","Press Briefing by Treasury Secretary Henry Paulson and Chairman of the Council of Economic Advisors Ed Lazear","http://georgewbush-whitehouse.archives.gov/news/releases/2008/01/20080118-6.html","Economy","12:42",NA,NA,1,0,0.49,0.455172414,5,4.17,"89",0.000944151547653217,0.000944151547653217
"80","Bush","President","90",0.20312,"X1.18.08","1:55","","President Bush Tours Factory, Discusses Economy","http://georgewbush-whitehouse.archives.gov/news/releases/2008/01/20080118-7.html","Economy","1:59",NA,NA,1,0,0.49,0.455172414,5,4.17,"90",0.000944151547653217,0.000944151547653217
"81","Bush","President","91",0.18125,"X1.22.08","2:43","","President Bush Meets with Bicameral and Bipartisan Members of Congress","http://georgewbush-whitehouse.archives.gov/news/releases/2008/01/20080122-5.html","Economy","2:35",NA,NA,1,0,0.49,0.455172414,5,3.68,"91",-0.00330836217058973,-0.00330836217058973
"82","Bush","President","92",0.17968,"X1.23.08","1:45","","President Bush Participates in Briefing with Mayors on Free Trade Agreements","http://georgewbush-whitehouse.archives.gov/news/releases/2008/01/20080123-8.html","Economy","1:48",NA,NA,1,0,0.49,0.455172414,5,3.43,"92",0.048049294175677,0.048049294175677
"83","Bush","President","93",0.12019,"X1.24.08","2:31","","President Bush Discusses the Bipartisan Economic Growth Agreement","http://georgewbush-whitehouse.archives.gov/news/releases/2008/01/20080124-3.html","Economy","2:34",NA,NA,1,0,0.49,0.455172414,5,3.47,"93",0.00605686308066631,0.00605686308066631
"84","Bush","President","94",0.16831,"X1.25.08","12:47","","President Bush Attends 2008 Congress of Tomorrow Luncheon","http://georgewbush-whitehouse.archives.gov/news/releases/2008/01/20080125-3.html","Economy","12:51",NA,NA,1,0,0.49,0.455172414,5,3.6,"94",-0.00890090573233229,-0.00890090573233229
"85","Bush","President","95",0.01302,"X1.29.08","3:38","","President Bush Signs Executive Order Protecting American Taxpayers from Government Spending on Wasteful Earmarks","http://georgewbush-whitehouse.archives.gov/news/releases/2008/01/20080129-3.html","Economy","3:41",NA,NA,1,0,0.49,0.455172414,5,3.47,"95",0.00546907867059308,0.00546907867059308
"86","Bush","President","96",0.09697,"X1.30.08","2:51","","President Bush Discusses Trade and Economy","http://georgewbush-whitehouse.archives.gov/news/releases/2008/01/20080130-6.html","Economy","3:08",NA,NA,1,0,0.49,0.455172414,5,3.26,"96",-0.00294891970996161,-0.00294891970996161
"87","Bush","President","97",0.113537,"X2.1.08","11:47","","President Bush Discusses Economy in Kansas City","http://georgewbush-whitehouse.archives.gov/news/releases/2008/02/20080201-7.html","Economy","12:00",NA,NA,1,0,0.49,0.455172414,4.9,3.12,"97",0.00825144508670526,0.00825144508670526
"88","Bush","President","98",0.24431,"X2.4.08","10:57","","President Bush Meets with Cabinet, Discusses Budget","http://georgewbush-whitehouse.archives.gov/news/releases/2008/02/20080204-1.html","Economy","11:01",NA,NA,1,0,0.49,0.455172414,4.9,2.82,"98",0.0169358014966522,-0.00355990092932899
